Paper name,Year,venue,Sensing Target,Type of sensing,Substrate,Substrate sourcing,Sensing layer materials,Sensing materials Sourcing,Fabrication process,Device Form Factor,validation process,Expected  results,Potential applications,Limitations,Procedure for building these devices,
BioWeave: Weaving Thread-Based Sweat-Sensing On-Skin Interfaces,2023,ACM UIST (User Interface Software and Technology),sweat pH,Colorimetric (optical),Woven textile,"Commercial weaving yarns (e.g., mercerized perle cotton 10/2 and 20/2 from Woolery; general yarns from Amazon/Woolery)",Colorimetric assays (from urinalysis/pH/glucose test strips),"Colorimetric strips (Amazon, Just Fitter, Bayer Diastix)",Dyeing cotton yarns with extracted colorimetric reagents,"Thread-based woven textile patches integrated at body sites (under-eye, armpit, forehead, chest, toes)",Colorimetric: spectrophotometry and optical imaging,- pH sensing threads showed ~60 mV/pH (Nernstian response),"Wearable on-skin sweat monitors for diabetes management (glucose), hydration (electrolytes), skin health/wound monitoring (pH), fitness monitoring (sweat rate)","- Limited analyte range when using off-the-shelf test strips (designed for urine, not sweat)","1. Select mercerized cotton yarn (20/2 or 10/2). Clean with isopropanol and mordant with alum.
2. Extract reagents from commercial test strips (pH, glucose, cobalt chloride for sweat rate). Use solution to dye cotton threads.
3. For electrochemical threads: coat cotton with carbon ink (counter electrode), Ag/AgCl ink + PVB (reference electrode), and working electrodes with PANi (pH) or Prussian Blue + chitosan + glucose oxidase (glucose). Cure/dry as needed.
4. Weave threads into 2D/3D structures on a loom (plain weave, satin, twill, or double cloth) targeting body locations with high sweat density.
5. Attach woven patches on-skin using tape or adhesive.
6. Validate via spectrophotometer (colorimetric) or AFE IC (LMP91000, LMP91200) + microcontroller for electrochemical signals.
7. Test on human subjects for wearability and signal correlation.",
,,,sweat glucose,"Electrochemical (potentiometric, amperometric)",,,"Electrochemical coatings: carbon ink, Ag/AgCl ink, polyvinyl butyral (PVB), polyaniline, Prussian blue, chitosan, glucose oxidase","Electrochemical inks (Kayuku C-250J carbon ink, Kayuku AgCl ink)",- Mordanting with alum (aluminum sulfate),,"Electrochemical: open circuit potential (pH), cyclic voltammetry (glucose), amperometry",- Glucose electrochemical threads showed anodic peak shifts across 0.1–10% concentrations,,- Electrochemical testing setup (AFE ICs) less precise than benchtop potentiostats,,
,,,sweat electrolytes,,,,,"Chemicals from Sigma-Aldrich (PVB, PANi, Prussian Blue, Chitosan, Glucose Oxidase, PBS, HCl, etc.)",- Dip-coating threads with conductive/functional inks for electrochemical electrodes,,,- Colorimetric sensors produced visible color changes aligned with analyte concentration,,- Washability and long-term durability not fully tested,,
,,,sweat rate,,,,,,- Weaving on 4-shaft and 8-shaft looms into 2D and 3D woven structures,,,"Preliminary wearability study with 3 participants (forehead-mounted sensors, 21 minutes of exercise)",,,,
HoloChemie: Sustainable Fabrication of Soft Biochemical Holographic Devices for Ubiquitous Sensing,2024,ACM UIST (User Interface Software and Technology),"Glucose (0.12–0.20 mM), Lactate (5–20 mM), CO₂ (400–800 ppm), pH extremes (1.5–2 and 12–13)",Analyte-sensitive optical colorimetric sensing using biochemical and chemical assay layers read by LED–LDR array and spectrophotometry,"Alginate, agarose (2 % w/v), chromatography paper, tattoo paper, woven/non-woven fabrics (alginate preferred for transparency and flexibility)","Alginate (Sigma W201502 / Amazon food-grade), agarose (Sigma A4718), chromatography paper (Sigma WHA3017820), tattoo paper (commercial), fabrics (Amazon)","Glucose oxidase (GOx, Aspergillus niger), Lactate oxidase (LOx, Aerococcus viridans), potassium iodide (KI), starch, phosphate buffer (PBS), bromothymol blue (BTB), hibiscus anthocyanins extracted from hibiscus tea","Sigma Aldrich (GOx G7141 or G2133, LOx L9795, KI 221945, PBS P3619, BTB 114413); Amazon (hibiscus tea leaves, fabrics)","Prepare soft substrate (e.g., alginate 1 : 25 : 1 alginate : glycerol  2% w/v: water; dry 8–10 h). For glucose sensing: mix 110 µL PBS + 20 µL GOx + 30 µL KI + 2 mg starch; for lactate sensing: mix 118 µL PBS + 32 µL LOx + 30 µL KI + 2 mg starch; for CO₂ sensing: dissolve 0.1 g BTB in 16 mL 0.01 N NaOH and dilute to 250 mL, drop-cast or brush onto substrate; for pH sensing: boil 3 g dried hibiscus tea leaves in 50 mL water for 15–20 min, cool, filter, and brush/spray extract on substrate. Dry all layers for ~20 min at room temperature before testing.",Flexible assay-coated thin films or patches applied on soft substrates for wearable or benchtop testing,"Spectrophotometry (250–750 nm) shows distinct absorption peaks per analyte; LED–LDR setup collected 600 samples over 30 min at 50 Hz; Random Forest regression achieved R²: 0.87 (glucose), 0.91 (lactate), 0.94 (CO₂), 0.93 (pH)",Color and transparency change correspond directly to analyte concentration; stable response for up to 10 hydration/drying cycles; accurate ML-based analyte prediction,Non-invasive sweat glucose and lactate sensing; CO₂ and pH monitoring for air quality and environmental diagnostics; sustainable biopolymer-based holographic color interfaces,BTB layer gradually loses sensitivity after several CO₂ exposures (recoverable with 0.01 N NaOH); ambient light variation affects LED–LDR readings.,Prepare biopolymer substrate → mix enzyme-based or dye-based assay as described → drop-cast/brush/spray on substrate → dry 20 min → record optical response using LED–LDR array or spectrophotometer → retrain ML model on RGB/LDR data for quantitative estimation,
"AnimSkin: Fabricating Epidermis with Interactive, Functional and Aesthetic Color Animation",2017,ACM DIS (Designing Interactive Systems),Touch sensing and thermal color animation,Hybrid capacitive (touch input) + thermochromic (colorimetric actuation),Multi-layer silicone stack: transparent overlay + thermochromic silicone + conductive thread + ITO film + silicone base,"Silicone resin and curing agent (lab kits); thermochromic pigment (TK-CHEM SDS 38 °C red powder); conductive nylon thread (X-Silver, Adafruit/Taobao); ITO film (electronics vendors)",Thermochromic pigment; silicone base; silver-coated nylon thread; copper wire; ITO film,"TK-CHEM (thermochromic powder); Adafruit/Taobao (conductive yarn); local suppliers (ITO film, copper wire)",Mix silicone + curing agent + thermochromic pigment (100:3:9) → cast 30–120 µm films → laser-cut pattern → embed conductive thread and copper wire → stack thermochromic + ITO + substrate layers → cure and bond with transparent overlay → apply body-safe adhesive,Thin (~0.38 mm) flexible on-skin film for interactive color animation and touch input,"Capacitive ITO test (10 participants, overlay = 120–450 µm); durability/skin-friendly test (8 participants, 6 h wear at 3.3 V, 0.08 A); thermal actuation/color-change speed test",Color change in 0.5–1 s at 3.3 V 0.08 A; stable touch sensing through ≤ 0.45 mm silicone; comfort 4–5 / 5; no irritation or circuit break,On-skin aesthetic notification; interactive tattoo; fashion/beauty tech application; wearable light or pattern control,Activation above 38 °C; single-color thermochromic limitation; manual layering time; needs external 3.3 V power,Mix thermochromic pigment + silicone + curing agent → cast thin films → laser-cut pattern → lay conductive thread + copper wiring → add ITO film for touch sensing → stack and cure layers → apply adhesive → wear on skin and power at 3.3 V,
BioCosMe: Lip-based Cosmetics with Colorimetric Biosensors for Salivary Analysis using Deep Learning,2024,ACM ISWC (International Symposium on Wearable Computers),Salivary pH,"Colorimetric biosensing using natural anthocyanin pigment with deep learning (CNN, ResNet-18)","Lip-based cosmetic substrates: lipstick, lip gloss, and lip tint","Commercial cosmetic bases and food-grade materials (wax, glycerin, mica, TiO₂, cetyl octanoate, phenoxyethanol, polysorbate 80, red cabbage powder)","Red cabbage (anthocyanin, 33.3%); silver mica (8.3%); TiO₂ (8.3%); cetyl octanoate (8.3%); primer adhesive (8.3%); for tint – water, glycerin, phenoxyethanol, polysorbate 80",Amazon; Sigma-Aldrich; cosmetic suppliers (food-grade and skin-safe materials),Heat cosmetic base to 175°F → add red cabbage and mica powders → stir 20 min at 165°F → pour into molds (lipstick/gloss) or bottles (tint) → chill 35–50°F → store at room temperature,"Lipstick (solid), lip gloss (gel), and lip tint (aqueous) biosensors visually identical to commercial cosmetics","Artificial saliva (pH 5–8) tests; dataset of 2304 lip images (6 participants, 8 lighting conditions, 3 cameras); CNN training (ResNet-18, 100 epochs); user study (11 participants, 1-h sessions)",CNN F1 = 0.92; RF = 0.39; SVM = 0.41; LOPO accuracy 37%; reusable up to 7 tests; usability mean 6/7; comfort 4.6/7; consistent pH detection with commercial strips,Everyday oral pH monitoring; cosmetic health biosensing; future glucose/cortisol extensions; beauty-biotech integration,"Lighting sensitivity; dataset limited (skin tones, participants); comfort issues (texture); not yet scalable; untested with eating/drinking","Prepare cosmetic base with red cabbage pigment → add additives (mica, TiO₂, cetyl octanoate) → heat, mix, pour into molds → cool and store → apply and test with pH buffers → collect lip images → train CNN → deploy mobile app for real-time lip-based pH sensing",
Exploring Biofoam as a Material for Tangible Interaction,2022,ACM DIS (Designing Interactive Systems),"Pressure, force, temperature, UV light",Hybrid resistive (pressure/force) and colorimetric (thermo/photochromic) sensing,Biofoam (gelatin–glycerin–soap composite),"DIY recipe adapted from FabTextiles “Bioplastics Cookbook”; ingredients (gelatin, glycerin, dish soap, water) available commercially (Amazon/local)","Gelatin (24 g); Glycerin (24 mL); Water (300 mL); Dish soap (10 g); Stainless steel fibers (2.5 cm, 8 µm); Pine sap; Flax mucilage; Thermochromic/photochromic pigments; Natural powders (turmeric, walnut hull, charcoal)",Knox Gelatin (Amazon); stainless-steel roving fibers (e-textile suppliers); Jacquard Dye-Na-Flow pigments (Amazon); pine sap/flax seeds (local),Mix 300 mL water + 24 g gelatin → heat to 80 °C → add 24 mL glycerin → cook 2 h → add 10 g dish soap → whisk 90 s → fold in steel fibers → pour into molds → dry 24–48 h → optionally add pigments or natural additives,Cylindrical biofoam FSRs (5 × 2 cm); thin color-changing biofoam sheets (0.5–3 mm),for wearables,"Density (0.13–0.65 g/cm³); compression (72% strain); FSR test 15–60 N (3.3 V, 330 Ω divider); recovery 3–5 s; biodegradation/recycling tests",Force-dependent resistance decrease; thermochromic change at ~36 °C; UV-triggered color shift; biodegradable and recyclable,Sustainable haptic and sensing materials; color-changing jewelry/masks; biodegradable tactile sensors,Fiber distribution inconsistency; water sensitivity; brittleness if unbalanced; long drying time; manual fabrication limits scalability,"Mix gelatin, glycerin, water (80 °C) → add soap and whisk 90 s → fold in steel fibers → pour and dry 48 h → attach electrodes (copper taffeta) → connect via voltage divider → optionally add thermo/photochromic pigments for color feedback"
Biohybrid Devices: Prototyping Interactive Devices with Growable Materials,2023,ACM UIST (User Interface Software and Technology),"Pressure, bending, touch, humidity, deformation","Hybrid resistive (pressure/force), capacitive (touch/multi-touch), and humidity sensing",Bacterial cellulose (BC) biofilm grown via kombucha fermentation,"DIY kombucha medium (tea, sugar, vinegar, SCOBY); locally available or commercial kits (Amazon, Carrefour Bio)",Conductive textiles (EeonTex COM-14112); Velostat; Polyimide films; Carbon-doped beeswax (10% Vulcan XC72R); Graphite (ProGraphite); Conductive PLA (Protopasta); Conductive yarn (Datastretch 1468-SI); Starch-based conductive paste (40% graphite + CléoBio bioglue),Eeonyx; Protopasta; Sigma-Aldrich (carbon black); ProGraphite (Germany); CléoBio (France); Adafruit (LEDs/Neopixel); Amazon (conductive yarn); Kombucha culture (local/online),Grow BC films (7–20 days @ 24–25 °C) → embed electronics after 5 days (“Grow Around”) → wash and dry (3–7 days or 4–12 h @ 80 °C) → integrate via Layering / Imbuing / Slicing → laser engrave conductive traces with graphite paste → assemble and seal,"Biohybrid BC-based FSRs, capacitive pads, humidity sensors, and wearable interfaces (bracelets, controllers, SMA-actuated devices)",Resistance range 0.6–15.4 kΩ; SNR 42–73 dB; humidity range 215 kΩ–2 MΩ; graphite traces 39 Ω/□ (10 mm); copper/silver growth inhibition tests,13 interactive samples; 170+ BC cultures; 7 embedding techniques across growth/stabilization/inanimate phases; functional wearables with LEDs and SMA actuators,Sustainable bio-integrated wearables; shape-changing soft robotics; biodegradable controllers; DIY educational bio-HCI materials,Slow growth (7–20 days); copper/silver toxicity; humidity degradation; laser damage; manual drying affects reproducibility,Prepare kombucha medium → grow BC (7–20 days) → embed electronics at day 5 → dry → integrate via Layering/Imbuing/Slicing → laser engrave graphite circuits → attach microcontroller (Arduino/Nano) → waterproof and test sensing response,
Designing Direct Interactions with Bioluminescent Algae,2021,ACM DIS (Designing Interactive Systems),"Mechanical touch, vibration, and movement triggering bioluminescence",Bio-optical / mechano-chemical sensing (light emission via luciferin–luciferase reaction),Living marine dinoflagellate cultures (*Pyrocystis fusiformis*),PyroFarms (P. fusiformis culture); Fritz Aquatics (F/2 media Parts A & B); Instant Ocean marine salt (PetSmart); distilled water (local stores),Living algal cells as sensing and emitting medium; no synthetic sensing layer,"PyroFarms (living culture); Fritz Aquatics Pro; Instant Ocean; local hardware suppliers (LEDs, timer, enclosure)","Prepare 3.5% marine medium (1.012–1.024 SG) → add F/2 nutrients and 200 mL starter culture → grow 7 weeks under 12/12 light–dark cycle (18–22 °C) → feed monthly (30% medium) → use closed, porous, or open containers for interaction","Living liquid medium in closed, porous, or open vessels for light-emitting interactions","Light intensity measured with BT-881D lux meter; closed env. = 0.137 lux (2.66 s), porous = 0.033 lux (0.89 s), open = 0.087 lux (2.35 s); hue via Photoshop; LED control = 133.9 lux",Instant blue-green glow on motion; longer glow in closed setups; dissipates within seconds; culture stable under 12/12 light cycle and gentle aeration,Living bio-interactive installations; educational eco-games; organism-centered HCI and sustainable light interfaces,Needs dark environment; short glow duration (<0.2 lux); contamination risk; requires oxygenation and strict light/temperature control; ethical care required,Prepare marine medium → add F/2 nutrients and starter algae → maintain 12/12 light cycle at 18–22 °C → expand to 20 L → design interaction containers → stimulate manually and record bioluminescent output,
